,주차장코드,주차장명,주소,검색어,url
44,119824,여의도공원앞1 노상주차장(구),영등포구 여의도동 2-11,여의도공원앞1 노상주차장,https://pcmap.place.naver.com/restaurant/36005548/review/visitor#
45,1208601,청계2(북2) 공영주차장(시),종로구 관수동 91-4,청계2 공영주차장,https://pcmap.place.naver.com/restaurant/35823839/review/visitor#
46,1210657,청계3(북1) 공영주차장(시),종로구 예지동 140-1,청계3 공영주차장,https://pcmap.place.naver.com/restaurant/35823840/review/visitor#
47,1234305,가마산고가밑 공영주차장(시),구로구 구로동 414-13,가마산고가밑 공영주차장,
48,1235522,청계3(남) 공영주차장(시),중구 주교동 51-3,청계3 공영주차장,https://pcmap.place.naver.com/restaurant/35823840/review/visitor#
49,1235665,청계6(청평화) 공영주차장(시),중구 신당동 217-91 0,청계6 공영주차장,https://pcmap.place.naver.com/restaurant/1969934078/review/visitor#
50,1235916,청계2(남) 공영주차장(시),중구 입정동 29-1,청계2 공영주차장,https://pcmap.place.naver.com/restaurant/35823839/review/visitor#
51,1236307,청계1(남) 공영주차장(시),중구 수표동 65-4,청계1 공영주차장,https://pcmap.place.naver.com/restaurant/35992952/review/visitor#
52,1236612,남대문 화물 공영주차장(시),중구 남대문로4가 24-1,남대문 화물 공영주차장,https://pcmap.place.naver.com/restaurant/35824150/review/visitor#
53,1236742,중앙일보사옆 관광버스전용 주차장(시),중구 순화동 7-0,중앙일보사옆 관광버스전용 주차장,
54,1236949,한진면세점앞 노상 공영주차장(구),중구 남대문로5가 533-0 0,한진면세점앞 노상 공영주차장,https://pcmap.place.naver.com/restaurant/36003278/review/visitor#
55,1237608,해운센터빌딩 앞 노상 공영주차장(구),중구 소공동 59-0 0,해운센터빌딩 앞 노상 공영주차장,
56,1247636,신설동 공영주차장(시),동대문구 신설동 114-29,신설동 공영주차장,https://pcmap.place.naver.com/restaurant/35977144/review/visitor#
57,1247641,천호2동노외주차장(구),강동구 천호동 457-7,천호2동노외주차장,
58,1247659,구의3동 공영주차장(구),광진구 구의동 219-15,구의3동 공영주차장,https://pcmap.place.naver.com/restaurant/18816578/review/visitor#
59,1247661,광진광장 공영주차장(구),광진구 군자동 374-9,광진광장 공영주차장,https://pcmap.place.naver.com/restaurant/21185766/review/visitor#
60,1247675,암사1동(구),강동구 암사동 59-2,암사1동 주차장,https://pcmap.place.naver.com/restaurant/18648714/review/visitor#
61,1247677,양화진 공영주차장(구),마포구 합정동 139-21,양화진 공영주차장,https://pcmap.place.naver.com/restaurant/21185879/review/visitor#
62,1247678,망원1-2 공영주차장(구),마포구 망원동 403-2,망원1-2 공영주차장,https://pcmap.place.naver.com/restaurant/18796267/review/visitor#
63,1247683,덕원주차장(구),동대문구 장안동 458-8,덕원주차장,https://pcmap.place.naver.com/restaurant/1033528045/review/visitor#
64,1247684,청계주차장(구),동대문구 용두동 129-4,청계주차장,https://pcmap.place.naver.com/restaurant/35823843/review/visitor#
65,1254863,영등포동제3공영(구),영등포구 영등포동4가 442-0,영등포동제3공영 주차장,https://pcmap.place.naver.com/restaurant/18997129/review/visitor#
66,1254864,신길1동공영(구),영등포구 신길동 120-82,신길1동공영 주차장,https://pcmap.place.naver.com/restaurant/1596161610/review/visitor#
67,1268780,청파동1마을공원공영주차장(구),용산구 청파동3가 118-102,청파동1마을공원공영주차장,https://pcmap.place.naver.com/restaurant/21186080/review/visitor#
68,1268812,청파동청사(구),용산구 청파동2가 91-1,청파동청사 주차장,https://pcmap.place.naver.com/restaurant/1953441419/review/visitor#
69,1268813,용산전자상가4(구),용산구 원효로3가 51-5,용산전자상가4 주차장,https://pcmap.place.naver.com/restaurant/21185829/review/visitor#
